work_year,salary_cleaned,salary_in_usd_cleaned,company_size_lab,salary_currency_encoded,employee_residence_encoded,company_location_encoded,remote_ratio,job_title_encoded,experience_level_EN,experience_level_EX,experience_level_MI,experience_level_SE,employment_type_CT,employment_type_FL,employment_type_FT,employment_type_PT
2023,172500.0,172500.0,1,51126126,25370322,25370322,100,72608695,0,0,0,1,0,0,1,0
2023,110500.0,110500.0,1,51126126,25370322,25370322,100,72608695,0,0,0,1,0,0,1,0
2023,238000.0,238000.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,176000.0,176000.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,237000.0,237000.0,1,51126126,25370322,25370322,100,39298127,0,0,0,1,0,0,1,0
2023,201450.0,201450.0,1,51126126,25370322,25370322,100,39298127,0,0,0,1,0,0,1,0
2023,,,0,51126126,25370322,25370322,0,94260756,0,0,0,1,0,0,1,0
2023,159100.0,159100.0,0,51126126,25370322,25370322,0,94260756,0,0,0,1,0,0,1,0
2023,115000.0,115000.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,81500.0,81500.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,237000.0,237000.0,1,51126126,25370322,25370322,100,72608695,0,0,0,1,0,0,1,0
2023,201450.0,201450.0,1,51126126,25370322,25370322,100,72608695,0,0,0,1,0,0,1,0
2023,280000.0,280000.0,1,51126126,25370322,25370322,0,17456674,0,0,0,1,0,0,1,0
2023,210000.0,210000.0,1,51126126,25370322,25370322,0,17456674,0,0,0,1,0,0,1,0
2023,280100.0,280100.0,1,51126126,25370322,25370322,100,54949590,0,0,0,1,0,0,1,0
2023,168100.0,168100.0,1,51126126,25370322,25370322,100,54949590,0,0,0,1,0,0,1,0
2023,193500.0,193500.0,1,51126126,25370322,25370322,100,39298127,0,0,0,1,0,0,1,0
2023,139000.0,139000.0,1,51126126,25370322,25370322,100,39298127,0,0,0,1,0,0,1,0
2023,,65062.0,0,24692968,88059125,88059125,0,72608695,0,0,1,0,0,0,1,0
2023,150000.0,150000.0,1,51126126,51663733,25370322,100,67921766,0,0,0,1,0,0,1,0
2023,65000.0,69751.0,2,49064728,79926203,41411443,100,2773417,0,0,1,0,0,0,1,0
